station,latitude,longitude,confidence,source
Bd. Suwoto,-7.841071,112.698057,Rendah,user
Krajan Timur,-7.817869,112.732831,Sedang-Tinggi,user
Purwodadi,-7.803760,112.746000,Tinggi,user
Bd. Sentono,-7.842500,112.789600,Sedang,user
Bd. Baong,-7.774700,112.773700,Sedang,user
Bd. Lecari,-7.705900,112.726900,Sedang,user
Bd. Bakalan,-7.748434,112.759904,Sedang-Rendah,user
AWLR Kademungan,-7.773310,112.781730,Tinggi,user
Bd. Domas,-7.721469,112.812289,Tinggi,user
Bd Guyangan,-7.658333,112.822778,Sedang-Tinggi,user
Bd. Grinting,-7.689107,112.846016,Tinggi,user
Sidogiri,-7.668333,112.831944,Sedang,user
Klosod,-7.665417,112.840278,Sedang,user
Dhompo,-7.657780,112.861390,Tinggi,user
Jalan Nasional,-7.629417,112.874806,Tinggi-Sedang,user
