Datetime,Bd. Suwoto,Krajan Timur,Purwodadi,Bd. Sentono,Bd. Baong,Bd. Lecari,Bd. Bakalan,AWLR Kademungan,Bd. Domas,Bd Guyangan,Bd. Grinting,Sidogiri,Klosod,Dhompo,Jalan Nasional
2022-10-01 08:00:00,503.723,335.546,287.063,680.536,169.046,167.806,136.422,128.465,57.289,32.597,28.065,24.642,22.708,7.094,1.875
2022-10-01 08:30:00,503.723,336.023,287.063,681.512,169.144,168.79,139.022,128.826,57.289,33.136,28.124,25.27,23.939,7.307,1.875
2022-10-01 09:00:00,503.723,336.188,287.063,681.665,169.461,168.884,139.281,128.742,57.289,33.265,28.197,25.348,24.073,7.394,1.875
2022-10-01 09:30:00,503.803,336.285,287.063,681.739,169.784,168.954,139.151,128.915,57.289,33.357,28.245,25.329,24.196,7.467,1.875
2022-10-01 10:00:00,503.929,336.349,287.063,681.831,169.999,168.988,139.396,128.925,57.289,33.431,28.303,25.28,24.307,7.51,1.875
2022-10-01 10:30:00,504.065,336.523,287.67,681.89,169.813,169.044,139.56,129.509,57.289,33.535,28.436,25.431,24.422,7.63,1.875
2022-10-01 11:00:00,504.208,336.91,289.767,682.352,169.746,169.102,139.853,130.01,57.289,33.61,28.574,25.588,24.528,7.823,1.906
2022-10-01 11:30:00,504.5,337.079,290.541,681.854,169.822,169.139,140.069,129.887,57.289,33.529,28.592,25.586,24.476,7.933,1.92
2022-10-01 12:00:00,504.579,337.104,290.867,681.808,170.091,169.168,140.549,131.094,57.289,33.521,28.581,25.574,24.459,7.922,1.923
2022-10-01 12:30:00,504.675,337.075,290.813,681.769,172.819,169.169,140.616,129.35,57.289,33.503,28.556,25.561,24.45,7.882,1.924
2022-10-01 13:00:00,504.799,337.04,290.678,681.726,169.466,169.174,140.661,131.162,57.407,33.468,28.533,25.549,24.445,7.851,1.925
2022-10-01 13:30:00,504.939,337.019,290.514,681.63,173.077,169.187,140.698,129.786,57.936,33.464,28.759,25.538,24.441,7.848,1.925
2022-10-01 14:00:00,505.082,336.99,290.354,681.608,169.824,169.196,140.751,129.264,57.33,33.466,29.673,25.53,24.439,7.883,1.925
2022-10-01 14:30:00,505.243,336.974,290.201,681.619,170.286,169.203,140.832,133.332,59.353,33.501,29.862,25.545,24.456,7.9,1.933
2022-10-01 15:00:00,505.402,336.96,290.151,681.697,174.093,169.203,140.879,130.397,59.153,33.531,29.823,25.559,24.467,8.915,1.946
2022-10-01 15:30:00,505.535,336.939,290.14,681.694,177.077,169.195,140.905,129.34,60.136,33.518,30.321,25.559,24.466,9.619,1.954
2022-10-01 16:00:00,505.658,336.929,290.193,681.694,169.799,169.19,140.909,129.445,57.796,33.543,31.491,25.559,24.466,10.011,1.961
2022-10-01 16:30:00,505.762,336.901,290.224,681.614,176.168,169.182,140.895,132.595,58.979,33.658,30.53,25.549,24.458,11.224,1.963
2022-10-01 17:00:00,505.829,336.875,290.205,681.602,169.962,169.172,140.873,129.287,57.901,33.897,30.725,25.539,24.453,10.832,1.964
2022-10-01 17:30:00,505.857,336.871,290.135,681.591,174.175,169.157,140.849,129.385,57.735,34.027,30.617,25.531,24.449,10.654,4.248
2022-10-01 18:00:00,505.863,336.898,290.041,681.581,169.839,169.138,140.824,129.948,57.873,34.083,31.121,25.524,24.445,10.644,4.412
2022-10-01 18:30:00,505.861,336.907,289.969,681.571,173.318,169.118,140.801,129.303,58.887,34.147,31.36,25.517,24.443,10.881,4.5
2022-10-01 19:00:00,505.856,336.89,289.889,681.562,169.73,169.096,140.78,132.043,59.587,34.233,30.09,25.512,24.441,11.091,4.613
2022-10-01 19:30:00,505.851,336.864,289.817,681.554,173.874,169.082,140.762,129.375,57.328,34.275,30.275,25.507,24.439,10.511,4.766
2022-10-01 20:00:00,505.846,336.838,289.74,681.547,169.708,169.069,140.743,129.438,57.799,34.283,30.796,25.503,24.437,10.372,4.785
2022-10-01 20:30:00,505.842,336.815,289.673,681.547,169.603,169.056,140.726,129.193,57.289,34.277,29.892,25.499,24.436,10.783,4.713
2022-10-01 21:00:00,505.84,336.79,289.61,681.653,172.192,169.043,140.708,129.55,57.711,34.267,30.774,25.581,24.435,10.234,4.723
2022-10-01 21:30:00,505.841,336.767,289.55,681.687,169.767,169.031,140.69,129.237,57.927,34.256,30.054,25.995,24.798,10.762,4.677
2022-10-01 22:00:00,505.844,336.742,289.496,681.704,170.486,169.02,140.373,129.425,57.44,34.243,29.995,26.155,25.129,10.247,4.689
2022-10-01 22:30:00,505.849,336.717,289.448,681.709,170.002,169.01,140.353,130.415,58.218,34.227,30.34,26.186,25.256,10.186,4.646
2022-10-01 23:00:00,505.855,336.694,289.4,681.71,169.503,169.0,140.333,130.674,57.46,34.211,30.392,26.188,25.276,10.08,4.557
2022-10-01 23:30:00,505.861,336.673,289.355,681.709,169.583,168.991,140.314,132.059,57.767,34.196,30.215,26.184,25.284,10.305,4.468
2022-10-02 00:00:00,505.867,336.653,289.315,681.708,169.486,168.982,140.296,131.262,58.392,34.175,29.844,26.18,25.284,10.168,4.443
2022-10-02 00:30:00,505.873,336.635,289.28,681.709,169.63,168.974,140.279,129.19,58.15,34.155,30.048,26.175,25.282,10.075,4.423
2022-10-02 01:00:00,505.878,336.62,289.248,681.709,169.569,168.966,140.262,129.506,57.495,34.137,30.077,26.167,25.282,9.854,4.38
2022-10-02 01:30:00,505.883,336.606,289.219,681.709,172.589,168.96,140.246,129.183,57.988,34.121,30.096,26.157,25.278,10.15,4.302
2022-10-02 02:00:00,505.887,336.593,289.193,681.708,169.618,168.955,140.23,129.233,57.522,34.105,29.945,26.146,25.272,10.207,4.276
2022-10-02 02:30:00,505.889,336.58,289.181,681.705,169.57,168.949,140.215,130.277,57.289,34.089,29.955,26.132,25.264,10.262,4.297
2022-10-02 03:00:00,505.89,336.567,289.271,681.703,169.549,168.944,140.199,129.494,57.524,34.073,29.937,26.118,25.256,10.16,4.331
2022-10-02 03:30:00,505.891,336.556,289.373,681.701,170.011,168.94,140.184,130.339,58.021,34.057,29.733,26.103,25.248,10.227,4.339
2022-10-02 04:00:00,505.89,336.546,289.397,681.699,169.543,168.937,140.17,129.126,57.331,34.041,29.893,26.088,25.239,10.191,4.347
2022-10-02 04:30:00,505.889,336.538,289.386,681.697,169.576,168.933,140.155,129.663,58.144,34.032,29.857,26.073,25.231,10.184,4.355
2022-10-02 05:00:00,505.888,336.53,289.368,681.696,169.564,168.929,140.141,129.276,58.197,34.016,29.722,26.058,25.223,10.188,4.35
2022-10-02 05:30:00,505.886,336.523,289.35,681.694,169.488,168.924,140.126,130.439,57.856,34.001,30.014,26.043,25.214,10.178,4.351
2022-10-02 06:00:00,505.883,336.517,289.335,681.693,172.936,168.92,140.113,130.446,57.438,33.987,29.58,26.026,25.205,10.202,4.349
2022-10-02 06:30:00,505.88,336.511,289.32,681.692,172.645,168.915,140.1,129.608,57.883,33.974,29.663,26.007,25.195,10.12,4.345
2022-10-02 07:00:00,505.877,336.505,289.305,681.69,169.588,168.911,140.087,129.838,57.625,33.961,29.56,25.989,25.183,9.989,4.339
2022-10-02 07:30:00,505.874,336.5,289.288,681.689,169.67,168.907,140.076,130.523,58.048,33.949,29.658,25.971,25.17,9.954,4.299
2022-10-02 08:00:00,505.87,336.493,289.27,681.688,171.814,168.903,140.064,129.366,57.289,33.936,29.63,25.955,25.159,9.928,4.254
2022-10-02 08:30:00,505.867,336.487,289.25,681.687,169.6,168.9,140.053,129.173,57.728,33.924,29.618,25.94,25.151,9.925,4.212
2022-10-02 09:00:00,505.864,336.481,289.231,681.685,169.592,168.897,140.043,129.143,57.289,33.912,29.489,25.925,25.149,9.933,4.182
2022-10-02 09:30:00,505.86,336.476,289.21,681.684,169.961,168.894,140.033,129.339,57.381,33.901,29.383,25.911,25.14,9.898,4.16
2022-10-02 10:00:00,505.856,336.471,289.19,681.683,169.583,168.891,140.009,129.334,57.315,33.89,29.454,25.897,25.13,9.79,4.139
2022-10-02 10:30:00,505.853,336.468,289.17,681.681,169.491,168.889,139.999,129.223,57.289,33.881,29.51,25.882,25.121,9.74,4.103
2022-10-02 11:00:00,505.849,336.463,289.149,681.68,169.621,168.886,139.989,130.306,57.549,33.874,29.507,25.869,25.112,9.738,4.055
2022-10-02 11:30:00,505.847,336.46,289.128,681.681,169.797,168.885,139.981,130.289,57.289,33.866,29.529,25.856,25.104,9.776,4.019
2022-10-02 12:00:00,505.844,336.457,289.109,681.681,169.661,168.885,139.973,129.669,57.413,33.857,29.233,25.845,25.096,9.773,3.999
2022-10-02 12:30:00,505.841,336.453,289.09,681.68,170.555,168.882,139.965,129.332,57.373,33.849,29.444,25.832,25.089,9.747,3.99
2022-10-02 13:00:00,505.838,336.448,289.072,681.678,169.58,168.88,139.958,129.44,57.289,33.842,29.346,25.821,25.082,9.635,3.978
2022-10-02 13:30:00,505.835,336.443,289.053,681.677,170.017,168.877,139.95,129.092,57.289,33.835,29.404,25.807,25.075,9.662,3.945
2022-10-02 14:00:00,505.831,336.438,289.035,681.676,169.619,168.875,139.943,129.033,57.289,33.828,29.315,25.791,25.068,9.667,3.912
2022-10-02 14:30:00,505.828,336.433,289.017,681.675,169.754,168.873,139.936,129.419,57.289,33.821,29.239,25.774,25.061,9.673,3.897
2022-10-02 15:00:00,505.825,336.428,288.998,681.674,169.531,168.871,139.929,129.344,57.335,33.815,29.372,25.758,25.053,9.623,3.888
2022-10-02 15:30:00,505.823,336.424,288.981,681.675,169.714,168.87,139.923,129.157,57.289,33.809,29.212,25.741,25.047,9.573,3.873
2022-10-02 16:00:00,505.82,336.421,288.966,681.675,169.613,168.87,139.917,129.572,57.289,33.803,29.3,25.725,25.042,9.597,3.844
2022-10-02 16:30:00,505.817,336.416,288.951,681.674,169.568,168.868,139.911,129.361,57.289,33.798,29.253,25.706,25.035,9.551,3.825
2022-10-02 17:00:00,505.814,336.411,288.937,681.673,169.776,168.865,139.905,129.163,57.304,33.793,29.231,25.687,25.029,9.551,3.806
2022-10-02 17:30:00,505.811,336.406,288.922,681.671,169.635,168.863,139.899,129.388,57.289,33.788,29.245,25.668,25.023,9.54,3.786
2022-10-02 18:00:00,505.808,336.402,288.907,681.594,171.321,168.861,139.893,129.036,57.289,33.784,29.217,25.65,25.017,9.511,3.773
2022-10-02 18:30:00,505.805,336.397,288.89,681.593,170.458,168.859,139.887,129.092,57.289,33.78,29.209,25.631,25.011,9.51,3.754
2022-10-02 19:00:00,505.802,336.392,288.874,681.592,169.64,168.857,139.882,129.56,57.289,33.775,29.228,25.612,25.004,9.497,3.739
2022-10-02 19:30:00,505.799,336.387,288.858,681.591,169.645,168.855,139.876,129.39,57.289,33.77,29.162,25.594,24.998,9.478,3.726
2022-10-02 20:00:00,505.796,336.382,288.843,681.59,171.131,168.853,139.871,129.117,57.289,33.765,29.15,25.577,24.992,9.467,3.712
2022-10-02 20:30:00,505.793,336.377,288.829,681.589,169.763,168.852,139.865,129.361,57.289,33.76,29.144,25.562,24.986,9.448,3.696
2022-10-02 21:00:00,505.791,336.372,288.814,681.588,169.602,168.85,139.859,129.189,57.289,33.755,29.166,25.55,24.979,9.42,3.681
2022-10-02 21:30:00,505.788,336.368,288.8,681.587,169.661,168.849,139.854,129.256,57.289,33.75,29.13,25.54,24.973,9.405,3.661
2022-10-02 22:00:00,505.785,336.363,288.785,681.586,171.009,168.847,139.848,129.219,57.372,33.745,29.126,25.531,24.967,9.408,3.641
2022-10-02 22:30:00,505.782,336.359,288.771,681.586,170.095,168.845,139.843,129.133,57.289,33.741,29.097,25.524,24.961,9.395,3.627
2022-10-02 23:00:00,505.779,336.355,288.756,681.585,170.255,168.844,139.838,128.517,57.289,33.736,29.137,25.518,24.955,9.374,3.617
2022-10-02 23:30:00,505.776,336.351,288.742,681.584,169.592,168.842,139.833,129.578,57.289,33.732,29.117,25.513,24.949,9.364,3.603
2022-10-03 00:00:00,505.773,336.347,288.728,681.583,170.458,168.841,139.828,129.152,57.289,33.728,29.074,25.509,24.943,9.362,3.588
2022-10-03 00:30:00,505.77,336.344,288.714,681.582,171.054,168.839,139.824,129.053,57.397,33.723,29.024,25.505,24.938,9.351,3.577
2022-10-03 01:00:00,505.767,336.34,288.701,681.582,169.794,168.838,139.819,128.514,57.289,33.719,29.008,25.501,24.933,9.335,3.567
2022-10-03 01:30:00,505.764,336.335,288.687,681.581,169.734,168.837,139.815,129.288,57.289,33.714,29.041,25.498,24.927,9.307,3.555
2022-10-03 02:00:00,505.761,336.332,288.674,681.58,169.773,168.836,139.81,129.294,57.289,33.71,29.055,25.495,24.922,9.283,3.537
2022-10-03 02:30:00,505.759,336.329,288.661,681.58,169.641,168.834,139.806,129.344,57.332,33.705,29.018,25.493,24.917,9.278,3.514
2022-10-03 03:00:00,505.756,336.326,288.648,681.579,170.843,168.833,139.801,129.313,57.38,33.701,29.013,25.491,24.912,9.285,3.498
2022-10-03 03:30:00,505.753,336.323,288.635,681.578,169.605,168.832,139.797,128.761,57.289,33.696,29.01,25.489,24.907,9.276,3.49
2022-10-03 04:00:00,505.751,336.32,288.623,681.578,169.551,168.831,139.793,129.222,57.289,33.692,29.002,25.487,24.903,9.263,3.485
2022-10-03 04:30:00,505.748,336.317,288.612,681.577,170.529,168.83,139.789,129.335,57.289,33.65,29.011,25.486,24.898,9.253,3.478
2022-10-03 05:00:00,505.745,336.314,288.601,681.577,169.656,168.829,139.785,128.911,57.289,33.646,28.985,25.484,24.894,9.247,3.468
2022-10-03 05:30:00,505.743,336.311,288.59,681.576,170.359,168.828,139.781,129.115,57.289,33.642,28.965,25.483,24.89,9.241,3.46
2022-10-03 06:00:00,505.741,336.308,288.579,681.575,169.871,168.827,139.777,128.765,57.289,33.639,28.959,25.482,24.886,9.234,3.452
2022-10-03 06:30:00,505.738,336.305,288.569,681.575,170.503,168.826,139.773,129.055,57.289,33.635,28.954,25.48,24.882,9.222,3.445
2022-10-03 07:00:00,505.736,336.302,288.559,681.574,170.006,168.825,139.769,129.038,57.289,33.631,28.939,25.479,24.878,9.209,3.437
2022-10-03 07:30:00,505.734,336.299,288.55,681.573,170.306,168.824,139.766,128.538,57.289,33.628,28.913,25.478,24.874,9.202,3.428
2022-10-03 08:00:00,505.731,336.297,288.541,681.573,170.627,168.823,139.762,128.938,57.289,33.624,28.952,25.478,24.87,9.195,3.418
2022-10-03 08:30:00,505.729,336.294,288.534,681.572,169.928,168.822,139.759,128.719,57.289,33.621,28.955,25.477,24.866,9.183,3.409
2022-10-03 09:00:00,505.727,336.291,288.527,681.571,169.577,168.821,139.755,128.961,57.289,33.617,28.916,25.476,24.862,9.176,3.401
2022-10-03 09:30:00,505.725,336.289,288.52,681.571,169.558,168.82,139.752,128.669,57.289,33.614,28.895,25.475,24.858,9.183,3.392
2022-10-03 10:00:00,505.723,336.286,288.513,681.57,170.278,168.82,140.664,128.73,57.289,33.611,28.909,25.475,24.854,9.178,3.387
