,elevasi_m,mean,std,min,max,range,skewness,kurtosis,cv
Bd. Suwoto,503.0,505.9021,0.2964,503.723,507.123,3.4,0.3729,6.3224,0.0006
Krajan Timur,335.0,336.5184,0.3244,335.546,338.959,3.413,1.6631,4.5906,0.001
Purwodadi,287.0,289.2826,1.0433,287.063,294.534,7.471,1.3634,2.9233,0.0036
Bd. Baong,169.0,170.326,1.8992,169.046,201.403,32.357,5.8613,51.8135,0.0112
Bd. Lecari,167.0,168.9121,0.1359,167.806,169.692,1.886,1.7458,5.6617,0.0008
Bd. Bakalan,136.0,140.2637,0.4066,136.422,142.198,5.776,0.4081,2.4195,0.0029
AWLR Kademungan,128.0,129.4778,1.2195,128.465,150.582,22.117,6.0074,58.7412,0.0094
Bd. Domas,57.0,57.6456,0.9007,57.289,66.481,9.192,4.0944,20.4134,0.0156
Bd Guyangan,32.0,33.8091,0.2453,32.597,34.506,1.909,0.6902,-0.0578,0.0073
Bd. Grinting,28.0,29.5722,0.9908,28.065,34.69,6.625,1.958,4.3324,0.0335
Sidogiri,24.0,25.7432,0.3417,24.642,27.106,2.464,1.1621,0.6348,0.0133
Klosod,22.0,25.0155,0.2654,22.708,26.077,3.369,0.603,2.7129,0.0106
Dhompo,7.0,9.8425,1.08,7.094,15.167,8.073,1.817,3.8259,0.1097
Jalan Nasional,1.8,4.0098,0.8665,1.875,6.943,5.068,1.0124,0.57,0.2161
