Stasiun,Elevasi (m),ADF Statistic,p-value,Stasioner (5%)
Bd. Suwoto,503.0,-11.026,0.000000,Ya
Krajan Timur,335.0,-8.3367,0.000000,Ya
Purwodadi,287.0,-7.9066,0.000000,Ya
Bd. Baong,169.0,-11.7882,0.000000,Ya
Bd. Lecari,167.0,-9.877,0.000000,Ya
Bd. Bakalan,136.0,-8.8581,0.000000,Ya
AWLR Kademungan,128.0,-10.7659,0.000000,Ya
Bd. Domas,57.0,-11.0822,0.000000,Ya
Bd Guyangan,32.0,-8.1307,0.000000,Ya
Bd. Grinting,28.0,-7.3541,0.000000,Ya
Sidogiri,24.0,-7.2654,0.000000,Ya
Klosod,22.0,-4.8614,0.000041,Ya
Dhompo,7.0,-7.2603,0.000000,Ya
Jalan Nasional,1.8,-8.016,0.000000,Ya
